INFO flower 2021-04-06 10:43:42,348 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=35)
DEBUG flower 2021-04-06 10:43:43,524 | numpy_client.py:167 | fit, FitIns(clock=36)
DEBUG flower 2021-04-06 10:43:43,524 | numpy_client.py:242 | cached_clock: 30, curr_clock: 36
INFO flower 2021-04-06 10:43:43,524 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 10:44:30,013 | numpy_client.py:215 | read: ReadRes(clock=31)
DEBUG flower 2021-04-06 10:44:30,054 | numpy_client.py:167 | fit, FitIns(clock=36)
DEBUG flower 2021-04-06 10:44:30,054 | numpy_client.py:242 | cached_clock: 31, curr_clock: 36
INFO flower 2021-04-06 10:45:31,759 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=36)
DEBUG flower 2021-04-06 10:45:33,038 | numpy_client.py:167 | fit, FitIns(clock=37)
DEBUG flower 2021-04-06 10:45:33,038 | numpy_client.py:242 | cached_clock: 31, curr_clock: 37
INFO flower 2021-04-06 10:45:33,038 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 10:46:25,641 | numpy_client.py:215 | read: ReadRes(clock=32)
DEBUG flower 2021-04-06 10:46:25,682 | numpy_client.py:167 | fit, FitIns(clock=37)
DEBUG flower 2021-04-06 10:46:25,682 | numpy_client.py:242 | cached_clock: 32, curr_clock: 37
INFO flower 2021-04-06 10:47:26,557 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=37)
DEBUG flower 2021-04-06 10:47:27,759 | numpy_client.py:167 | fit, FitIns(clock=38)
DEBUG flower 2021-04-06 10:47:27,759 | numpy_client.py:242 | cached_clock: 32, curr_clock: 38
INFO flower 2021-04-06 10:47:27,759 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 10:48:18,344 | numpy_client.py:215 | read: ReadRes(clock=33)
DEBUG flower 2021-04-06 10:48:18,385 | numpy_client.py:167 | fit, FitIns(clock=38)
DEBUG flower 2021-04-06 10:48:18,386 | numpy_client.py:242 | cached_clock: 33, curr_clock: 38
INFO flower 2021-04-06 10:49:19,854 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=38)
DEBUG flower 2021-04-06 10:49:21,052 | numpy_client.py:167 | fit, FitIns(clock=39)
DEBUG flower 2021-04-06 10:49:21,052 | numpy_client.py:242 | cached_clock: 33, curr_clock: 39
INFO flower 2021-04-06 10:49:21,052 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 10:50:12,854 | numpy_client.py:215 | read: ReadRes(clock=34)
DEBUG flower 2021-04-06 10:50:12,895 | numpy_client.py:167 | fit, FitIns(clock=39)
DEBUG flower 2021-04-06 10:50:12,896 | numpy_client.py:242 | cached_clock: 34, curr_clock: 39
INFO flower 2021-04-06 10:51:14,359 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=39)
DEBUG flower 2021-04-06 10:51:15,523 | numpy_client.py:167 | fit, FitIns(clock=40)
DEBUG flower 2021-04-06 10:51:15,523 | numpy_client.py:242 | cached_clock: 34, curr_clock: 40
INFO flower 2021-04-06 10:51:15,523 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 10:52:03,027 | numpy_client.py:215 | read: ReadRes(clock=35)
DEBUG flower 2021-04-06 10:52:03,067 | numpy_client.py:167 | fit, FitIns(clock=40)
DEBUG flower 2021-04-06 10:52:03,067 | numpy_client.py:242 | cached_clock: 35, curr_clock: 40
INFO flower 2021-04-06 10:53:04,553 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=40)
DEBUG flower 2021-04-06 10:53:05,736 | numpy_client.py:167 | fit, FitIns(clock=41)
DEBUG flower 2021-04-06 10:53:05,736 | numpy_client.py:242 | cached_clock: 35, curr_clock: 41
INFO flower 2021-04-06 10:53:05,736 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 10:53:59,109 | numpy_client.py:215 | read: ReadRes(clock=36)
DEBUG flower 2021-04-06 10:53:59,150 | numpy_client.py:167 | fit, FitIns(clock=41)
DEBUG flower 2021-04-06 10:53:59,150 | numpy_client.py:242 | cached_clock: 36, curr_clock: 41
INFO flower 2021-04-06 10:55:00,455 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=41)
DEBUG flower 2021-04-06 10:55:01,642 | numpy_client.py:167 | fit, FitIns(clock=42)
DEBUG flower 2021-04-06 10:55:01,643 | numpy_client.py:242 | cached_clock: 36, curr_clock: 42
INFO flower 2021-04-06 10:55:01,643 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 10:55:52,058 | numpy_client.py:215 | read: ReadRes(clock=37)
DEBUG flower 2021-04-06 10:55:52,099 | numpy_client.py:167 | fit, FitIns(clock=42)
DEBUG flower 2021-04-06 10:55:52,099 | numpy_client.py:242 | cached_clock: 37, curr_clock: 42
INFO flower 2021-04-06 10:56:53,216 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=42)
DEBUG flower 2021-04-06 10:56:54,424 | numpy_client.py:167 | fit, FitIns(clock=43)
