INFO flower 2021-04-11 21:32:26,910 | server_ssp.py:140 | server receives FitRes(clock=2) from client ipv4:10.244.5.63:54706
DEBUG flower 2021-04-11 21:32:27,000 | server_ssp.py:162 | time to evaluate. Evaluation interval
INFO flower 2021-04-11 21:32:42,529 | server_ssp.py:191 | fit progress1: (2, 355.7377529144287, 0.196, 501.12873117253184)
INFO flower 2021-04-11 21:32:42,530 | server_ssp.py:116 | server starts round 3 for client ipv4:10.244.5.63:54706
INFO flower 2021-04-11 21:32:42,530 | server_ssp.py:119 | server send FitIns(clock=3) to client ipv4:10.244.5.63:54706
INFO flower 2021-04-11 21:32:43,650 | server_ssp.py:129 | server receives ReadIns from client ipv4:10.244.5.63:54706
INFO flower 2021-04-11 21:32:43,650 | server_ssp.py:231 | WAIT in get_fresh_weights: global_clock=1, min_clock=2
INFO flower 2021-04-11 21:32:50,425 | server_ssp.py:140 | server receives FitRes(clock=3) from client ipv4:10.244.34.35:43706
INFO flower 2021-04-11 21:32:50,509 | server_ssp.py:116 | server starts round 4 for client ipv4:10.244.34.35:43706
INFO flower 2021-04-11 21:32:50,510 | server_ssp.py:119 | server send FitIns(clock=4) to client ipv4:10.244.34.35:43706
INFO flower 2021-04-11 21:32:51,795 | server_ssp.py:140 | server receives FitRes(clock=5) from client ipv4:10.244.49.34:37540
INFO flower 2021-04-11 21:32:51,902 | server_ssp.py:129 | server receives ReadIns from client ipv4:10.244.34.35:43706
INFO flower 2021-04-11 21:32:51,902 | server_ssp.py:231 | WAIT in get_fresh_weights: global_clock=1, min_clock=2
INFO flower 2021-04-11 21:32:51,984 | server_ssp.py:116 | server starts round 6 for client ipv4:10.244.49.34:37540
INFO flower 2021-04-11 21:32:51,984 | server_ssp.py:119 | server send FitIns(clock=6) to client ipv4:10.244.49.34:37540
INFO flower 2021-04-11 21:34:13,732 | server_ssp.py:140 | server receives FitRes(clock=6) from client ipv4:10.244.49.34:37540
DEBUG flower 2021-04-11 21:34:13,899 | server_ssp.py:162 | time to evaluate. Evaluation interval
INFO flower 2021-04-11 21:34:29,833 | server_ssp.py:191 | fit progress1: (2, 300.8067774772644, 0.251, 608.5977948643267)
INFO flower 2021-04-11 21:34:29,834 | server_ssp.py:116 | server starts round 7 for client ipv4:10.244.49.34:37540
INFO flower 2021-04-11 21:34:29,834 | server_ssp.py:119 | server send FitIns(clock=7) to client ipv4:10.244.49.34:37540
INFO flower 2021-04-11 21:34:30,234 | server_ssp.py:140 | server receives FitRes(clock=2) from client ipv4:10.244.55.36:50508
INFO flower 2021-04-11 21:34:30,340 | server_ssp.py:116 | server starts round 3 for client ipv4:10.244.55.36:50508
INFO flower 2021-04-11 21:34:30,340 | server_ssp.py:119 | server send FitIns(clock=3) to client ipv4:10.244.55.36:50508
INFO flower 2021-04-11 21:34:32,926 | server_ssp.py:129 | server receives ReadIns from client ipv4:10.244.55.36:50508
INFO flower 2021-04-11 21:34:32,926 | server_ssp.py:231 | WAIT in get_fresh_weights: global_clock=1, min_clock=2
INFO flower 2021-04-11 21:34:49,420 | server_ssp.py:140 | server receives FitRes(clock=2) from client ipv4:10.244.55.36:50524
DEBUG flower 2021-04-11 21:34:49,421 | server_ssp.py:152 | time to evaluate. Clock updated
