DEBUG flower 2021-04-11 22:20:20,571 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 22:20:20,583 | numpy_client.py:172 | fit, FitIns(clock=18)
DEBUG flower 2021-04-11 22:20:20,583 | numpy_client.py:260 | cached_clock: 15, curr_clock: 18
INFO flower 2021-04-11 22:20:20,583 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-11 22:20:20,600 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 22:22:25,230 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 22:22:25,255 | numpy_client.py:228 | read: ReadRes(clock=16)
DEBUG flower 2021-04-11 22:22:25,295 | numpy_client.py:172 | fit, FitIns(clock=18)
DEBUG flower 2021-04-11 22:22:25,295 | numpy_client.py:260 | cached_clock: 16, curr_clock: 18
INFO flower 2021-04-11 22:23:45,500 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=18)
DEBUG flower 2021-04-11 22:23:45,517 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 22:23:46,661 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 22:23:46,678 | numpy_client.py:172 | fit, FitIns(clock=19)
DEBUG flower 2021-04-11 22:23:46,678 | numpy_client.py:260 | cached_clock: 16, curr_clock: 19
INFO flower 2021-04-11 22:23:46,678 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-11 22:23:46,692 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 22:25:48,500 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 22:25:48,525 | numpy_client.py:228 | read: ReadRes(clock=17)
DEBUG flower 2021-04-11 22:25:48,566 | numpy_client.py:172 | fit, FitIns(clock=19)
DEBUG flower 2021-04-11 22:25:48,566 | numpy_client.py:260 | cached_clock: 17, curr_clock: 19
INFO flower 2021-04-11 22:27:06,123 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=19)
DEBUG flower 2021-04-11 22:27:06,139 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 22:27:07,299 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 22:27:07,319 | numpy_client.py:172 | fit, FitIns(clock=20)
DEBUG flower 2021-04-11 22:27:07,320 | numpy_client.py:260 | cached_clock: 17, curr_clock: 20
INFO flower 2021-04-11 22:27:07,320 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-11 22:27:07,333 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 22:29:11,142 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 22:29:11,169 | numpy_client.py:228 | read: ReadRes(clock=18)
DEBUG flower 2021-04-11 22:29:11,211 | numpy_client.py:172 | fit, FitIns(clock=20)
DEBUG flower 2021-04-11 22:29:11,211 | numpy_client.py:260 | cached_clock: 18, curr_clock: 20
INFO flower 2021-04-11 22:30:32,109 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=20)
DEBUG flower 2021-04-11 22:30:32,128 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 22:30:33,259 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 22:30:33,284 | numpy_client.py:172 | fit, FitIns(clock=21)
DEBUG flower 2021-04-11 22:30:33,284 | numpy_client.py:260 | cached_clock: 18, curr_clock: 21
INFO flower 2021-04-11 22:30:33,285 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-11 22:30:33,298 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 22:32:32,849 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 22:32:32,876 | numpy_client.py:228 | read: ReadRes(clock=19)
DEBUG flower 2021-04-11 22:32:32,918 | numpy_client.py:172 | fit, FitIns(clock=21)
DEBUG flower 2021-04-11 22:32:32,918 | numpy_client.py:260 | cached_clock: 19, curr_clock: 21
INFO flower 2021-04-11 22:33:51,713 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=21)
DEBUG flower 2021-04-11 22:33:51,734 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 22:33:53,160 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 22:33:53,177 | numpy_client.py:172 | fit, FitIns(clock=22)
