DEBUG flower 2021-04-10 16:09:53,610 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:09:53,611 | numpy_client.py:228 | read: ReadRes(clock=13)
DEBUG flower 2021-04-10 16:09:53,618 | numpy_client.py:172 | fit, FitIns(clock=15)
DEBUG flower 2021-04-10 16:09:53,618 | numpy_client.py:260 | cached_clock: 13, curr_clock: 15
INFO flower 2021-04-10 16:09:56,806 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=15)
DEBUG flower 2021-04-10 16:09:56,807 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:09:56,830 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:09:56,830 | numpy_client.py:172 | fit, FitIns(clock=16)
DEBUG flower 2021-04-10 16:09:56,830 | numpy_client.py:260 | cached_clock: 13, curr_clock: 16
INFO flower 2021-04-10 16:09:56,830 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:09:56,831 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:11:03,670 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:11:03,671 | numpy_client.py:228 | read: ReadRes(clock=14)
DEBUG flower 2021-04-10 16:11:03,679 | numpy_client.py:172 | fit, FitIns(clock=16)
DEBUG flower 2021-04-10 16:11:03,679 | numpy_client.py:260 | cached_clock: 14, curr_clock: 16
INFO flower 2021-04-10 16:11:06,914 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=16)
DEBUG flower 2021-04-10 16:11:06,915 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:11:06,936 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:11:06,936 | numpy_client.py:172 | fit, FitIns(clock=17)
DEBUG flower 2021-04-10 16:11:06,937 | numpy_client.py:260 | cached_clock: 14, curr_clock: 17
INFO flower 2021-04-10 16:11:06,937 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:11:06,937 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:11:59,602 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:11:59,603 | numpy_client.py:228 | read: ReadRes(clock=15)
DEBUG flower 2021-04-10 16:11:59,610 | numpy_client.py:172 | fit, FitIns(clock=17)
DEBUG flower 2021-04-10 16:11:59,611 | numpy_client.py:260 | cached_clock: 15, curr_clock: 17
INFO flower 2021-04-10 16:12:02,815 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=17)
DEBUG flower 2021-04-10 16:12:02,815 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:12:02,837 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:12:02,837 | numpy_client.py:172 | fit, FitIns(clock=18)
DEBUG flower 2021-04-10 16:12:02,837 | numpy_client.py:260 | cached_clock: 15, curr_clock: 18
INFO flower 2021-04-10 16:12:02,837 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:12:02,837 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:13:10,672 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:13:10,673 | numpy_client.py:228 | read: ReadRes(clock=16)
DEBUG flower 2021-04-10 16:13:10,681 | numpy_client.py:172 | fit, FitIns(clock=18)
DEBUG flower 2021-04-10 16:13:10,681 | numpy_client.py:260 | cached_clock: 16, curr_clock: 18
INFO flower 2021-04-10 16:13:14,005 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=18)
DEBUG flower 2021-04-10 16:13:14,006 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:13:14,026 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:13:14,027 | numpy_client.py:172 | fit, FitIns(clock=19)
DEBUG flower 2021-04-10 16:13:14,027 | numpy_client.py:260 | cached_clock: 16, curr_clock: 19
INFO flower 2021-04-10 16:13:14,027 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:13:14,027 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:14:02,601 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:14:02,602 | numpy_client.py:228 | read: ReadRes(clock=17)
DEBUG flower 2021-04-10 16:14:02,609 | numpy_client.py:172 | fit, FitIns(clock=19)
DEBUG flower 2021-04-10 16:14:02,610 | numpy_client.py:260 | cached_clock: 17, curr_clock: 19
INFO flower 2021-04-10 16:14:05,926 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=19)
DEBUG flower 2021-04-10 16:14:05,927 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:14:05,950 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:14:05,950 | numpy_client.py:172 | fit, FitIns(clock=20)
DEBUG flower 2021-04-10 16:14:05,950 | numpy_client.py:260 | cached_clock: 17, curr_clock: 20
INFO flower 2021-04-10 16:14:05,950 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:14:05,951 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:15:21,801 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:15:21,802 | numpy_client.py:228 | read: ReadRes(clock=18)
DEBUG flower 2021-04-10 16:15:21,809 | numpy_client.py:172 | fit, FitIns(clock=20)
DEBUG flower 2021-04-10 16:15:21,809 | numpy_client.py:260 | cached_clock: 18, curr_clock: 20
INFO flower 2021-04-10 16:15:24,936 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=20)
DEBUG flower 2021-04-10 16:15:24,937 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:15:24,958 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:15:24,958 | numpy_client.py:172 | fit, FitIns(clock=21)
DEBUG flower 2021-04-10 16:15:24,958 | numpy_client.py:260 | cached_clock: 18, curr_clock: 21
INFO flower 2021-04-10 16:15:24,958 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:15:24,959 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:16:38,578 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:16:38,579 | numpy_client.py:228 | read: ReadRes(clock=19)
DEBUG flower 2021-04-10 16:16:38,587 | numpy_client.py:172 | fit, FitIns(clock=21)
DEBUG flower 2021-04-10 16:16:38,587 | numpy_client.py:260 | cached_clock: 19, curr_clock: 21
INFO flower 2021-04-10 16:16:41,914 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=21)
DEBUG flower 2021-04-10 16:16:41,916 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:16:41,937 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:16:41,938 | numpy_client.py:172 | fit, FitIns(clock=22)
DEBUG flower 2021-04-10 16:16:41,938 | numpy_client.py:260 | cached_clock: 19, curr_clock: 22
